word	C	count	sigma_nor
vaccin	361.481439473	6411	5.50797653964
sant	349.807767638	20194	3.46022964335
canc	289.845487059	8064	4.22372974933
virus	276.706292222	5258	4.80926865157
infect	252.422784033	6843	4.04711635586
médecin	214.873385083	19358	2.54344983935
assur	192.649037827	6235	3.43596884528
syndrom	186.316794779	3496	4.1431257336
réassur	180.43718196	210	13.111658962
odontolog	174.914015201	693	7.57798030796
chirurgien	171.591826425	2205	4.64044781983
malad	165.766637494	15699	2.32203941629
assurance-malad	164.724367793	1710	4.96483785216
furet	161.481111813	347	9.51306631578
antigen	155.258283958	1029	5.80520025015
mutuel	154.429135563	1185	5.457456137
soin	153.309594193	5436	3.07566901613
servic	149.291904944	5027	3.10163098657
tiqu	146.815004432	562	7.11865910737
tumeur	146.55208169	1792	4.44632342133
infirmi	144.030441329	1811	4.36933117703
protéin	143.751346799	1749	4.42142675704
antibiot	143.486149211	1425	4.78018554724
hôpital	138.672414555	4109	3.15843756881
radon	138.323574554	323	8.54905763532
cellul	137.976437315	3027	3.50051173508
armé	135.870724385	1496	4.49429993476
allerg	133.86484965	1512	4.42459668258
dépistag	132.945351567	1920	4.02103938108
anticorp	126.623840503	1151	4.70764319985
bacter	121.337374335	1801	3.84614632042
viral	120.223436968	1229	4.40784913042
social	118.623368484	3424	3.02183203409
pollen	116.846512851	390	6.81936573333
loi	116.4258632	2647	3.25545527468
advent	116.270975888	285	7.73991567858
chat	115.873299763	459	6.33081143404
entrepris	114.805708948	2011	3.54944285427
psychiatr	114.750501231	1411	4.03774440543
prévoi	112.687385021	365	6.79556075646
travail	111.499430017	5799	2.46165291143
saint	110.955421703	569	5.59558036067
écol	110.570751748	2603	3.15992550009
trait	110.162904722	9836	2.10952970051
cas	109.920314884	9495	2.1267533364
risqu	109.782385899	6895	2.32011809667
assureur	109.778228111	443	6.13836017568
métastas	109.712929129	546	5.63682376356
test	107.382350087	2829	3.01255168931
symptôm	105.517746217	2223	3.22935337081
molécul	102.927594606	1489	3.65298924751
prestat	101.877195816	793	4.58468959735
salari	101.641907886	961	4.25324423122
enseign	100.197468672	1796	3.35337753263
antoin	99.2898506278	129	9.37944256313
dos	98.9600750519	1734	3.36516574191
chirurg	97.3801353088	2323	3.01288359642
thiomersal	97.0684554007	153	8.5644195906
patient	97.0348525516	6664	2.18680492921
mort	95.6607802084	3551	2.60107905749
professionnel	95.3351343518	3643	2.57543760064
lésion	94.3656276744	1325	3.57691284756
cotis	93.8191393306	562	4.90904278981
variol	93.6640750076	564	4.89579507813
diplôm	93.6270613765	1107	3.79445179807
centr	93.4765640656	4226	2.43464115661
contrat	93.255877038	1101	3.79085277174
animal	92.952591914	2674	2.79154316125
espec	92.0567670373	1692	3.22703306379
acid	91.558095117	1274	3.54925287008
hépat	90.9505592378	631	4.58034945955
chirurgien-dent	90.5488260983	421	5.34414990432
militair	90.2057052484	1313	3.47438195733
guérison	90.1732566034	1448	3.35648812626
dysplas	89.9011254959	311	5.99531598576
allergen	89.1643016957	457	5.11004171008
pharmacien	89.106512366	969	3.84019072312
cart	88.7965449253	915	3.91150410812
syndrome-d	86.8751972646	130	8.30403197046
mutuelles-étudi	86.6434549151	94	9.45487155287
soins-infirmi	86.6058821402	686	4.2721697666
miracl	85.2809877123	308	5.76058117912
universitair	85.0055350109	1573	3.13209020067
cachexie-cancer	84.9241377762	97	9.16930798011
souch	84.8169997793	1089	3.55196122667
paracétamol	84.245862254	248	6.21940559136
inject	83.4057344296	1441	3.18479324175
fievr	83.4005458061	1293	3.3050706815
prostat	83.0979538127	751	4.002904776
immun	82.582670589	623	4.27113042194
contamin	82.5281814406	1506	3.1150592109
médical	82.5104005029	6698	2.00656907962
peau	82.2174543475	1392	3.19086734529
chirurgiens-dent	82.0838733619	204	6.58240734412
maladies-professionnel	81.3640467716	650	4.15643499521
fourm	80.228664414	132	7.6966561908
médic	79.8176031852	2234	2.6820733567
utilis	79.1792748541	7771	1.89692374084
épidem	79.1587329327	1746	2.88527698445
mutual	78.487236817	562	4.26979250286
inocul	78.3439351855	350	5.11078948238
pouvoir	78.3058935225	12756	1.69266305819
sanitair	77.9115755048	2045	2.71557143698
églis	77.8873821722	477	4.51558766899
format	76.8288888789	3288	2.3360055399
produit	76.7318463227	2911	2.41766084277
anomal	76.7220743683	887	3.55421397276
phag	76.4606991991	146	7.08851936397
sinistr	75.6746815909	271	5.49239145459
polyp	75.5549107627	284	5.38529396398
sérolog	75.4086232761	433	4.56803712127
franc	75.142153354	5112	2.04885157293
mission	74.8966637642	1594	2.8661219211
borrel	74.1747403279	169	6.51403163084
pathogen	73.5364124057	1083	3.21841592754
autist	73.3872826487	252	5.51115760083
bactérien	73.1256138283	786	3.58374210024
détect	72.7131016306	1479	2.88017201578
streptocoqu	71.9323174101	266	5.30833895658
employeur	71.9311348973	469	4.27340348915
régional	71.880340846	1441	2.88274457388
services-social	71.6522724229	412	4.47315612277
oiseau	71.5664495705	485	4.20391184758
institut	71.3022574623	2208	2.51131191115
troubl	71.0460937321	2251	2.49152204802
polit	70.9869133783	2036	2.56645523542
étud	70.2822292473	5892	1.91396053288
gestion	70.2585128591	1418	2.85496261182
pharmac	70.2096264353	1874	2.61437969902
cypres	69.9847399654	79	8.38201132687
aigu	69.857977545	1038	3.15201127892
enfant	69.7882156208	4522	2.03547797118
chien	69.5493703862	645	3.70800378972
santé-publ	69.3979333916	2168	2.48434658955
enzym	69.1979932669	590	3.81466170916
hôt	69.0440576941	658	3.66211500242
éduc	69.008573785	1449	2.80253432533
régime-général	68.6991219222	462	4.14919170369
établ	68.6449903113	4178	2.05945232435
encéphalit	68.3561145169	252	5.201482401
national	68.0164601786	4222	2.04428536901
univers	67.8383569794	2489	2.35477765321
sécurité-social	67.436183817	833	3.31541741944
tarif	66.844750534	382	4.36112046278
anatom	66.637269698	863	3.24843745208
caiss	66.4883597871	612	3.65625966171
hospitali	66.4247133706	1414	2.75613982129
concour	65.6443038733	793	3.30911345063
crab	65.5808197668	175	5.79459035436
facult	65.0703991532	1435	2.70780001968
pai	64.8825771978	742	3.35815831724
spots-tv	64.8794312273	100	7.15158334618
germ	64.6076826872	681	3.44925538467
vétérinair	64.4871945186	1119	2.91408031014
scienc	64.3689462516	1649	2.57694193962
régim	64.327006245	1114	2.9135517105
spécialités-conten	63.8814087937	146	6.0851592832
ministr	63.4930965308	1075	2.92227084464
transmiss	63.2892078764	1460	2.64687626017
complémentaire-sant	63.1495406474	219	5.15041075869
dentair	63.0961613718	896	3.08985907375
cutan	63.0705187606	1015	2.96438865383
curiethérap	63.0463535812	138	6.15233123847
lait	62.9394250313	682	3.38423697287
réponse-immunitair	62.746385262	218	5.13287914191
récepteur	62.4535865487	621	3.47712634262
offici	62.4524497457	516	3.71217722903
homme-polit	62.2395654358	323	4.3941996323
femm	62.1608631821	2916	2.14737680214
gluten	62.1324615343	188	5.3906988011
radioact	61.9323230678	399	4.04866468881
chirurgien-franc	61.908741246	190	5.3529801931
roi	61.4124352408	463	3.81185787508
ingénieur	61.2762442798	351	4.20985995652
inhibiteur	60.974630921	590	3.4798708648
droit	60.8687202538	678	3.31239265667
plant	60.6674073117	1016	2.88856716503
moustiqu	60.6220048514	391	4.0135917503
gen	60.6127050809	1971	2.35913531049
hépatit	60.5816506774	851	3.05810139727
inflamm	60.4570402403	544	3.55846789209
effet	60.4548210112	3865	1.96989343335
promot	60.441314386	924	2.97171836256
compétent	60.3381639002	929	2.96312003937
menth	59.9919322553	104	6.5861494243
dermit	59.9508313219	149	5.72645714058
carcinom	59.8858530536	404	3.93001407989
reik	59.8006992813	66	7.82700007631
facteur	59.7600039881	2035	2.3189182273
sang	59.7106320556	1922	2.35572882462
parasit	59.7006418207	681	3.26306407775
trisom	59.6442917596	275	4.51474453815
pulmonair	59.6041603458	890	2.98065290784
œdem	59.4919650574	354	4.10344868764
minister	59.3596940612	1487	2.5306062539
muqueux	59.329305572	645	3.30972980255
immunoglobulin	59.148784005	270	4.51637625615
cigar	58.6608812515	89	6.86234296882
naus	58.5975620869	322	4.20010505233
système-immunitair	58.4079512238	602	3.35205832003
inflammatoir	58.3459032358	380	3.94076241033
plomb	58.2385287934	457	3.6833776819
accueil	58.0371190539	1036	2.78932212335
métastat	57.9752348603	190	5.07590515568
zirconium	57.9592128248	78	7.14515573262
chez-l	57.8757743895	868	2.94703465225
group	57.7816613897	3493	1.97488519529
spirituel	57.6038993861	225	4.73684060823
dépens	57.5471522493	802	3.0128441632
organis	57.4640326043	2896	2.06427946183
fil	57.4349368687	1274	2.59872300288
réform	57.4078493583	705	3.13936471095
recherch	57.3722435386	5287	1.78742575663
praticien	57.2120410906	738	3.08466607066
benzodiazépin	57.1897110768	201	4.91463424126
alcool	57.1582320309	1293	2.5794062688
télomer	57.1367665186	75	7.16432188041
secteur	57.1083518357	1094	2.71393562633
inactiv	57.0733129431	241	4.58278211263
lymphocytes-t	56.9862910218	250	4.51505180419
projet	56.929868912	1761	2.3498854208
bât	56.9139741551	777	3.02193818909
chirurgie-dentair	56.903291962	232	4.63769653799
retrait	56.7735059179	659	3.18696740361
réseau	56.6683850021	1615	2.40259051196
circoncir	56.654086517	81	6.90596565568
méningit	56.4711980421	538	3.40260716439
tuberculos	56.3160403867	1111	2.67731295305
sid	56.1003679	697	3.10234379708
élevag	56.0761745632	443	3.62308985377
garant	55.9891938402	817	2.9405207822
résist	55.9847777722	1560	2.40965730856
tau	55.9022460708	2446	2.12600840232
adjuv	55.8692113233	243	4.49321965779
prévent	55.8688404946	3149	1.99250097693
cellulair	55.5778579789	883	2.85394434043
taux	55.5157897405	2423	2.12348163847
typ	55.4193556177	4157	1.85741042702
étudi	55.0401298814	2721	2.05145257805
chapel	55.0389077093	237	4.48262198893
autism	54.6890311304	464	3.50103097616
charg	54.6825865121	3744	1.89125262365
poliovirus	54.5714451674	85	6.56657555107
aluminium	54.5230091078	165	5.09676079947
tissu	54.4798919759	1395	2.4498289303
exerc	54.3279988568	1206	2.5537567901
diagnostic	54.3039017397	2299	2.12800039414
sécur	54.2190547928	1426	2.42726698831
virulent	54.0449755166	412	3.61879605846
santé-mental	53.9839761297	444	3.52232490599
iod	53.7841462805	364	3.76767787504
circoncis	53.6760275617	262	4.23692329126
médico-social	53.6233644509	316	3.95478206213
art-dentair	53.6128693026	194	4.73158743536
lesbien	53.4286115623	185	4.80336588206
administr	53.3018255845	3272	1.92899724542
financi	53.2820087174	918	2.74356574323
larv	53.2671238378	219	4.49983644348
codéin	53.1987949758	123	5.58431782146
pollinis	53.037627107	120	5.62284054152
irradi	52.9594683381	378	3.67575347576
accident	52.9063099982	1464	2.3746660831
templ	52.835322223	225	4.42694730543
caus	52.8022676497	3509	1.88881259261
œuvr	52.7999846843	1733	2.26188790206
consomm	52.7963664614	1788	2.24240200741
réaction	52.7886477261	1028	2.63361644872
grad	52.7284746636	377	3.66749153011
rubéol	52.662473663	349	3.7656839457
spor	52.6088806594	150	5.13344089787
acarien	52.5279196029	174	4.84899479672
inhib	52.3610627165	401	3.57068001873
assurance-v	52.157950803	74	6.65904686244
dengu	52.1531258355	214	4.46441296593
biops	52.1022783873	337	3.78294345768
homéopath	51.9804722582	306	3.90890114645
vaccinal	51.9797735971	360	3.68905068338
séroposit	51.9418159931	296	3.95366775288
examen	51.7268761639	1985	2.15570778762
convent	51.6943577882	644	3.01372933662
efficac	51.5642441927	2670	1.99432529642
augment	51.5202714698	3229	1.9038606991
fièvre-apht	51.3093276961	64	6.93368734557
eau	51.207277282	2011	2.13672581278
libéral	51.1639700086	497	3.26249525387
réadapt	51.1346259662	281	3.98140476014
gripp	50.9472075475	735	2.85988853308
chimiothérap	50.8542711564	627	3.00712562491
fonction-publ	50.8094594965	167	4.79553332672
pharmaceut	50.6689464033	961	2.62097486505
tibétain	50.6570989556	101	5.77811522803
thanatoprax	50.6473941905	55	7.25333093586
mutat	50.6433968591	892	2.68077258721
art	50.5520125761	730	2.8516469258
fond	50.5115802271	2265	2.05697382741
président	50.3535861064	1207	2.4394095048
benfluorex	50.2154806564	62	6.88752149572
chirurgien-major	50.2133984081	89	6.0157339174
génotyp	50.2109875936	191	4.5202282519
prim	50.1200600503	412	3.42834711856
million	49.8564335278	2052	2.09568810844
surdit	49.8117227964	299	3.81860339226
cré	49.7980021735	2848	1.92992585176
génet	49.7824155727	1302	2.37073522043
profess	49.4940538996	953	2.58989305221
économ	49.4214927347	1573	2.23918012226
titulair	49.262467081	428	3.34291205874
system	49.1512166895	3643	1.81203707818
osseux	49.1383962331	408	3.39203136103
fédéral	48.9027984835	734	2.78636803122
homm	48.8317296234	3037	1.88319492946
exposit	48.7551349743	1510	2.24746519567
action	48.7123580955	2942	1.89507063961
guer	48.6984613125	787	2.71894710275
sein	48.5149177074	2608	1.94647993382
popul	48.4964417191	2844	1.90623989982
biodisponibil	48.4474584651	118	5.25454035035
priv	48.4295491757	1350	2.30978083167
gouvern	48.3637737855	1310	2.32761152376
grippe-aviair	48.209346191	303	3.71035456753
pneumonia	48.1089136655	89	5.80482187831
activ	48.0055119869	3759	1.78082072342
vecteur	48.0023187655	472	3.17662430786
août	47.6722494049	1376	2.27716803566
directeur	47.6292634844	1360	2.2834229123
prescript	47.5693499106	845	2.62130358013
centre-hospitali	47.5517804556	362	3.45303123784
pollin	47.5452067556	57	6.77944336277
sembl	47.5144893018	1558	2.19699655074
commiss	47.457886585	1145	2.39238031068
pôl	47.4488491867	561	2.97739639409
janvi	47.3573211088	1886	2.0852182848
immunis	47.2562625491	285	3.73620529247
pasteur	47.0807133193	519	3.03812092788
lépreux	47.0593876771	104	5.3788558039
sanctuair	47.0485401446	137	4.85523720966
saison	47.0414534539	585	2.92060868005
chirurgie-oral	47.0241511744	104	5.3755663658
liste-mis	46.9575854187	122	5.06036280076
pay	46.8497884869	3493	1.79036273735
institu	46.8230537677	1169	2.35972801597
métastases-oss	46.8099875591	129	4.94437158254
toxiqu	46.6358323872	980	2.47748965298
retard-mental	46.363605256	177	4.36901447575
fluoroquinolon	46.3515474287	128	4.919744886
valaciclov	46.3484848588	60	6.51007462175
décret	46.3200271966	680	2.75662063644
grain	46.3100685362	307	3.58697073515
toux	46.2969014827	251	3.84913013265
lymphom	46.2354193905	220	4.03034214114
provoqu	46.2297076107	1691	2.1182735665
monaster	46.2105286831	144	4.69943402998
personnel	46.1124186176	1661	2.12537518017
juin	46.1081867263	1806	2.0795338506
grossess	46.0032519038	1016	2.43171772672
narcoleps	45.9806093021	89	5.59152263028
membr	45.9061833783	2534	1.90845798223
mir	45.8255258959	91	5.5303132661
rembours	45.6930932469	538	2.94351390227
urticair	45.6913176296	137	4.74371053648
stad	45.6891082079	1018	2.42055165684
digest	45.5524750096	650	2.76614754057
societ	45.5523728214	2111	1.9870484395
défic	45.5036355915	754	2.64024146821
poumon	45.4015770719	851	2.54195738617
urgenc	45.3613770097	1148	2.32909302029
interféron	45.2660391425	151	4.54409497051
américain	45.1946211508	1980	2.01092991219
leucem	45.1896161349	420	3.16873300267
immunothérap	45.1348643134	222	3.94531522155
cult	45.0951597996	237	3.85228633645
cantat	45.0749958674	88	5.52373759175
anem	45.0567215197	370	3.29961131028
guérisseur	44.9884447645	207	4.03516268205
pest	44.9848699176	506	2.97153927117
petites-cellul	44.9320343449	98	5.29498398795
atteint	44.9217656719	1152	2.31393970721
ambulanci	44.8853521803	218	3.95448732522
poliomyélit	44.8793067825	301	3.53086294181
parent	44.6921170068	1040	2.37493689678
bénign	44.6858435205	412	3.16466226059
rag	44.6647203511	426	3.12876316294
inform	44.6018798857	2767	1.84487184271
thérapeut	44.5571154445	1765	2.0551377218
form	44.5297826128	5840	1.58154256705
congénital	44.5078385708	616	2.77164776723
souscrir	44.4948244283	172	4.27686808671
lymphocyt	44.4750863608	288	3.56192144565
intestin	44.463669956	362	3.29345798452
hospitalis	44.3823200205	1211	2.266494428
cataract	44.3685646428	218	3.9203919735
immunodéprim	44.3592264707	153	4.45156826464
érupt	44.3202600191	335	3.37344008287
cod	44.2918254718	1554	2.11716695853
décembr	44.2276463359	1686	2.07137776517
vill	44.2178437477	1412	2.16949822914
mar	44.1553107263	2258	1.92530444439
professeur	44.0886059142	1234	2.24645718164
irrit	44.0291272368	326	3.38905673574
médecin-dent	44.0176671254	50	6.65575289962
charbon	43.9412431217	340	3.33630725229
sit	43.9180985278	2937	1.80761063981
thyroïd	43.9172979215	251	3.70238241738
sécret	43.7782788736	460	3.00988108774
air	43.7674476946	1167	2.27198624798
physiolog	43.7672253678	668	2.67425321671
palud	43.6801816685	589	2.77725211793
substanc	43.6315639337	1203	2.24913566586
sérum	43.5769092126	408	3.12088600343
effets-secondair	43.5688781197	565	2.80918335936
diminu	43.5624084452	1808	2.01932390735
secteur-priv	43.5266562635	225	3.82200936688
intestinal	43.42144083	528	2.86376567738
bois	43.3738732337	479	2.95237961398
spirochet	43.3554763227	127	4.67897168414
lit	43.3534198112	641	2.69230718812
programm	43.1498796929	1793	2.01384316459
placebo	43.0970938057	331	3.3212524726
douleur	43.0882063477	1209	2.23053447365
chromosom	43.0708897066	485	2.92698373868
album	42.9042194596	211	3.8679945929
tabac	42.8164010398	646	2.66495966273
royal	42.8143272018	461	2.96347518907
prier	42.7834331472	158	4.27881244581
sodium	42.6546120491	234	3.71404949408
mortal	42.5336932234	1037	2.31033097764
pris	42.4709551751	2626	1.82566912098
expédit	42.4263198823	289	3.43959335946
plus-fréquent	42.420836612	763	2.52009032444
nucléair	42.40687832	464	2.93862085763
maîtr	42.3763961297	492	2.88265409667
apparit	42.3725689391	1163	2.23349771354
rotavirus	42.3211248332	83	5.35935506768
paclitaxel	42.3131540917	72	5.64304308461
anné	42.2940015898	5240	1.58299277968
chroniqu	42.2827972666	1511	2.08137540054
neurologu	42.2600341966	163	4.1915544134
galen	42.2187175397	185	4.00368702856
fondat	42.1888097321	917	2.38096086867
vaginal	42.1658961601	343	3.23223117182
arter	42.1377356343	351	3.20598823761
chef	42.0981922837	839	2.43966802753
gélos	42.0970254158	119	4.68086257727
chikunguni	42.0646353479	140	4.41111815508
unit	42.0264660156	1092	2.26207619334
saturn	41.8550516068	120	4.64553644296
utérus	41.826890801	520	2.8086599408
col	41.6662071101	536	2.77521747983
construct	41.6223514737	505	2.82571239183
paroi	41.5944358543	358	3.1567712758
stavudin	41.582611794	48	6.43376331351
associ	41.557946958	5318	1.56863964448
toxin	41.545873058	345	3.19316627922
érythem	41.4815018027	183	3.9663001322
bibliothequ	41.4058273447	286	3.3927723202
laboratoir	41.4032993193	1931	1.93764634186
papillomavirus	41.3922785238	193	3.88631050406
création	41.3488226221	1355	2.11607636663
médicament	41.1474163272	694	2.54468148892
piercing	41.1213575288	83	5.23526488541
rac	41.0663043021	290	3.35730210344
développ	41.060767486	5478	1.5535951454
céphal	40.9896029993	240	3.57649643093
public	40.961479613	1654	2.00165978487
oper	40.9411029103	1463	2.06390208569
champignon	40.9302257905	395	3.02342453469
pratiqu	40.8809609492	3459	1.69297773043
respiratoir	40.8726047269	980	2.29471342547
disponible-sur	40.8587392558	133	4.39301865601
sel	40.8067312709	562	2.69873672807
métabolit	40.8001088786	155	4.15460385198
antihistamin	40.7914190732	167	4.04541211972
ordon	40.7472955495	696	2.52748039652
choral	40.6680268969	56	5.97738665753
comprim	40.6410326601	384	3.03683051007
handicap	40.6275799207	719	2.49886434184
bovin	40.511222735	341	3.150536969
œuf	40.5105885593	289	3.32920164077
urin	40.4919884818	536	2.72511036619
févri	40.4643351739	1697	1.97698483191
spécial	40.4379800067	2120	1.87429954823
répliqu	40.3775741083	330	3.17767275467
élimin	40.3639224821	818	2.39761366329
grenad	40.3577726453	91	4.98782558589
chirurgical	40.2296050728	1098	2.20479273842
femel	40.1935559603	239	3.53138582411
pneumocoqu	40.1717655121	142	4.23568181017
agenc	40.1389710349	682	2.51972701599
lymphocytes-b	40.1365918127	142	4.232839519
récid	40.1323767298	190	3.8190594563
excret	40.0783940307	182	3.8731188998
exercic	40.0735788698	860	2.35376751598
radiothérap	40.0632435501	517	2.73717802225
internat	40.0200217763	271	3.3731712523
hypersensibil	39.9634408036	207	3.69534336648
docteur	39.8708520074	994	2.25413889268
orthodont	39.8252890515	97	4.82287970957
stag	39.8018965051	325	3.16244945631
miracul	39.7524326742	101	4.7463918204
articl	39.6980781671	2425	1.80287070576
toxoplasmos	39.6176127131	125	4.38555763493
médecine-tibétain	39.5341765151	70	5.3909342129
humain	39.4861424268	2687	1.75889122984
période-d	39.4661741681	94	4.84260448949
obligatoir	39.4656674738	1036	2.21628933064
évalu	39.4318307782	2046	1.86769529959
utérin	39.3852932322	265	3.36067674335
interentrepris	39.3703974109	104	4.6610644335
religi	39.3490484195	511	2.71591176352
sourd	39.3098288189	171	3.90196295818
asymptomat	39.305968335	326	3.13228216026
diarrh	39.2818221519	477	2.77150057647
naval	39.2611867177	153	4.05377304009
conseil	39.2182117591	1844	1.90866286574
parfum	39.2052431542	211	3.62012116275
mus	39.1785778156	305	3.19474577198
œil	39.1376992914	660	2.50579365604
paramédical	39.0834339912	328	3.11392993834
anthroposoph	39.0824664127	123	4.36465676196
pandem	39.0301778286	446	2.81871236511
cursus	38.9324198933	176	3.83524349808
sarcophag	38.8894814458	56	5.75855843042
huil	38.8539012951	456	2.79103848578
phas	38.8448502993	1135	2.14439037875
rar	38.7612589577	1254	2.08702309979
euros	38.7377639729	603	2.55784535531
flacon	38.730336249	148	4.05953158432
hoken	38.6479212934	64	5.46375942726
antioxyd	38.6259756095	166	3.8914259119
and	38.5112519246	1776	1.90904850209
élir	38.5059750679	489	2.71553632615
affili	38.4718541059	313	3.12833065162
syndicat	38.4613424864	346	3.02717473853
mathrm	38.4558638034	60	5.56758401057
ambul	38.4298803881	166	3.87670120579
international	38.4187135908	2249	1.80660189403
déces	38.3857414857	1440	2.00528922345
pronostic	38.3280780445	471	2.73911192958
établissements-public	38.316233104	216	3.5321732462
avril	38.3114857596	1836	1.88955173516
filial	38.2089207938	306	3.1369310621
joueur	38.1908546207	202	3.60555187256
novembr	38.0905251384	1447	1.99515800401
exoner	38.0758765122	135	4.13931985686
aciclov	38.0571493783	52	5.80555522781
vitamine-c	38.0129423297	158	3.91216236325
cisplatin	38.0124603594	78	5.0237563886
endem	37.9987581579	430	2.80232146978
diplôme-d	37.9827487344	172	3.79601045038
certificat	37.9647239634	322	3.07167811268
éosinophil	37.9605018849	167	3.83344142201
automobil	37.947887168	292	3.17071460386
demi-v	37.8454082175	154	3.93433688246
varicel	37.8212508126	151	3.95958380754
botan	37.7884616254	311	3.09691217704
staphylocoqu	37.7135303267	153	3.93301087435
juillet	37.6817299864	1730	1.90109659357
recommand	37.6302937826	1974	1.84286972646
communautair	37.6194301334	504	2.65144115465
séver	37.5797327951	825	2.29564008124
honorair	37.5610084276	285	3.17376015948
goutt	37.54988654	222	3.4492204429
édit	37.5374092861	1326	2.02399869855
prévalent	37.4374623689	652	2.44891967382
compliqu	37.4306881879	1149	2.09602327343
incub	37.4176919386	339	2.99163845107
colleg	37.343451077	587	2.52158679487
disposit	37.2460027247	1161	2.08502577331
absorpt	37.227668953	248	3.30305745786
diabet	37.2125560799	838	2.27312957389
genr	37.0123772322	775	2.31590196374
risques-professionnel	37.0097756845	176	3.69480891676
réservoir	36.9928415945	292	3.11595475184
vitamine-d	36.976499649	126	4.14744520749
mour	36.9451425871	1127	2.09216819801
thalidomid	36.8745180186	70	5.09411317123
soj	36.8271583529	250	3.26947383639
don	36.7353456736	5679	1.48643539883
bacill	36.7131693544	488	2.63715372828
macrophag	36.7118464046	189	3.5845645171
cour	36.6997421267	4385	1.55277727027
adénocarcinom	36.6506077494	150	3.87659789025
découvr	36.5916790229	943	2.18114697703
zon	36.5564038705	1611	1.90558443581
glucocorticoïd	36.4988130474	111	4.29339247817
entérovirus	36.4788138854	74	4.95187562686
brin	36.457434288	124	4.12613661084
particip	36.4356636531	1706	1.87732423973
divis	36.4316928893	949	2.17230512562
domain	36.4229147042	2241	1.76601954664
ouvr	36.366251496	1299	2.00215988998
équip	36.2259722084	1644	1.88841994336
post	36.2218468917	915	2.18668988956
anesthes	36.2124659868	562	2.50718284892
surinfect	36.2123632193	131	4.02710346582
produir	36.1832770414	2077	1.79023136733
corticoïd	36.1750439536	154	3.8043983638
certif	36.1540745547	306	3.02174579567
côlon	36.1196074777	367	2.84995857619
métabol	36.1039176361	536	2.53785940695
polydactyl	36.0919786212	51	5.59354589809
scientif	36.0886156301	1973	1.80851024931
ouvrag	36.0717163761	789	2.27117007674
informat	36.0443161986	373	2.83164393215
aureus	36.0035982679	78	4.81010763899
vésicul	35.9702721927	155	3.78002979885
psycholog	35.9426166053	789	2.26661379531
anorexigen	35.9383921389	44	5.86503812014
européen	35.9197943942	1839	1.83329332684
prix-nobel	35.9120152523	388	2.79034752504
génom	35.894979149	490	2.59740991483
départemental	35.8730233728	322	2.95728128167
mammograph	35.8663538317	166	3.68420709578
assist	35.8493014588	1185	2.03378623287
permettr	35.8160767154	5566	1.47903014286
hygien	35.8080610375	1181	2.03432206949
commercialis	35.7671991566	723	2.3157124559
protection-social	35.7593063272	332	2.92245902328
mandat	35.7493787441	343	2.8918819679
dentist	35.7452245108	400	2.75586445081
squalen	35.7224734124	50	5.58437530828
acte	35.6409501423	910	2.17078887561
mâl	35.5394574934	192	3.4831969413
dent	35.4666504873	420	2.70134335244
immunitair	35.4530451389	383	2.77857163874
conten	35.4483791393	1831	1.82412611683
lieuten	35.3972634179	80	4.7036307379
infecti	35.3868169208	803	2.23625813735
sall	35.3173752747	460	2.62080822736
intox	35.2917801271	411	2.71085225567
fol	35.2839989437	195	3.44725534117
bénéficiair	35.2759121548	272	3.0874995151
angin	35.248150007	252	3.16364242889
ganglionnair	35.1716422429	179	3.54021538894
cancérolog	35.1670385408	297	2.99489829138
postal	35.1388543793	123	4.02392581273
technolog	35.121846291	531	2.5028174543
ruban-ros	35.0911870187	51	5.46537195679
palatin	35.0623451529	111	4.16324876741
vaccin-contr	35.0530089082	404	2.71349043078
chrétien	35.0395895566	288	3.01730249689
sanguin	35.0360534288	908	2.15213850641
organ	34.975244964	3641	1.5778721898
cliniqu	34.9017637195	2676	1.67208720536
piqûr	34.8984351642	218	3.29559479466
congreg	34.827491037	129	3.93173131458
coût	34.8258322234	1042	2.07007122116
sen	34.8070971168	1081	2.05027511815
burgdorfer	34.790168574	69	4.8859858471
ganglion	34.734472986	286	3.00640400494
montr	34.6131756386	2020	1.76641975082
franchis	34.5749279419	157	3.65581569675
banqu	34.5697075117	427	2.64495482162
caractère-davantag	34.5667692395	103	4.22681491518
frott	34.5238787743	244	3.15202520984
octobr	34.4941997949	1478	1.89169625651
sédat	34.4455291843	158	3.63797834858
carte-vital	34.3997408953	107	4.1557917267
adénopath	34.3779842691	159	3.62501017719
corp	34.3336847749	1882	1.78738475573
milliard	34.3277132737	692	2.29013693709
minoxidil	34.2760071931	50	5.39755489787
spécialis	34.2534085887	1375	1.9176926778
financ	34.2371808055	725	2.25763409743
génital	34.1809371548	454	2.57861054381
déput	34.1530767208	348	2.79460575515
ankylostom	34.1462232301	55	5.20723794033
jour	34.1269119874	3865	1.54733852668
agent	34.126330134	1292	1.94287828046
chim	34.1027582538	670	2.30214677709
solidar	34.081915824	290	2.95550515741
atténu	34.0452128818	416	2.64062615718
réacteur	34.034846151	120	3.96208755022
ressourc	34.0217030112	621	2.34832114163
regl	33.9878978116	1477	1.87888758294
virolog	33.9836622167	331	2.82943855011
soins-palli	33.9436697288	182	3.43208134354
médicale-urgent	33.9136431826	68	4.81186772895
fœtus	33.8802925544	355	2.76316646908
tétanos	33.8592273213	249	3.09009843144
sciences-médical	33.8434417694	110	4.06550118252
surv	33.8251820332	503	2.48601882978
